"","Intenção","Precisão","Recall","F1 Score","Número de exemplos"
"🟢","gerenciar_notificacao","100.0%","100.0%","100.0%","17"
"🟢","ajuda","100.0%","100.0%","100.0%","11"
"🟢","afirmar","100.0%","100.0%","100.0%","15"
"🟢","valor_ativo","100.0%","100.0%","100.0%","19"
"🟢","negar","100.0%","100.0%","100.0%","15"
"🟢","saudar","100.0%","100.0%","100.0%","18"
"🟢","noticia","100.0%","100.0%","100.0%","10"
"🟢","rastrear_ativos","100.0%","100.0%","100.0%","18"
"🟢","menu","100.0%","100.0%","100.0%","8"
"🟢","micro avg","100.0%","100.0%","100.0%","131"
