"","Resposta","Precisão","Recall","F1 Score","Número de ocorrências"
"🟢","action_add_ativo","100.0%","100.0%","100.0%","2"
"🟢","utter_menu","100.0%","100.0%","100.0%","5"
"🟢","action_greet_init","100.0%","100.0%","100.0%","3"
"🟢","action_active_activate","100.0%","100.0%","100.0%","1"
"🟢","action_news","100.0%","100.0%","100.0%","1"
"🟢","utter_ajuda_2","100.0%","100.0%","100.0%","1"
"🟢","utter_activate_negative","100.0%","100.0%","100.0%","1"
"🟢","action_reset_slots","100.0%","100.0%","100.0%","17"
"🟢","action_fim_remover_ativo","100.0%","100.0%","100.0%","1"
"🟢","utter_ajuda_1","100.0%","100.0%","100.0%","1"
"🟢","action_manage_notification","100.0%","100.0%","100.0%","2"
"🟢","utter_news","100.0%","100.0%","100.0%","3"
"🟢","action_active","100.0%","100.0%","100.0%","2"
"🟢","utter_menu_ativos","100.0%","100.0%","100.0%","11"
"🟢","action_remover_ativo","100.0%","100.0%","100.0%","4"
"🟢","action_listen","100.0%","100.0%","100.0%","55"
"🟢","utter_active","100.0%","100.0%","100.0%","5"
"🟢","utter_active_not_activate","100.0%","100.0%","100.0%","1"
"🟢","action_fim_add_active","100.0%","100.0%","100.0%","1"
"🟢","action_activate_affirm","100.0%","100.0%","100.0%","1"
